subject_id,study,Cohort,Race,Gender,First-Generation,bedtime_mssd,total_sleep_time,midpoint_sleep,frac_nights_with_data,daytime_sleep,Cumulative GPA,End-of-term GPA,term_units,Relative Course Load,time_collection,University
380,3,uw2,Non-underrepresented,Female,Non-first gen,0.185720889,412.7692308,322.1346154,0.928571429,30.15384615,3.259655172,3.23,15,0.041207105,"Spring, 2019",UW
386,3,uw2,Non-underrepresented,Female,Non-first gen,0.072307099,372.2857143,372.2857143,0.25,53.42857143,3.917419355,4,18,1.603330987,"Spring, 2019",UW
394,3,uw2,Non-underrepresented,Female,Non-first gen,0.071266575,462.4285714,299.8214286,1,25.17857143,3.71,3.45,12,-1.520916778,"Spring, 2019",UW
399,3,uw2,Underrepresented,Female,Non-first gen,0.053386752,433.1111111,460.8703704,0.964285714,56.55555556,3.730625,3.95,13,-1.000208817,"Spring, 2019",UW
401,3,uw2,Non-underrepresented,Female,Non-first gen,0.047301097,436.9285714,413.4464286,1,50.25,3.57,3.49,14,-0.479500856,"Spring, 2019",UW
405,3,uw2,Non-underrepresented,Female,Non-first gen,0.116004039,388.8928571,345,1,37.82142857,3.240625,3.59,14,-0.479500856,"Spring, 2019",UW
407,3,uw2,Non-underrepresented,Female,Non-first gen,0.187172309,428.8823529,404.1470588,0.607142857,50.41176471,3.665862069,3.7,15,0.041207105,"Spring, 2019",UW
413,3,uw2,Non-underrepresented,Female,Non-first gen,0.77931359,378.9130435,463.6304348,0.821428571,31.04347826,3.32037037,3.13,14,-0.479500856,"Spring, 2019",UW
418,3,uw2,Non-underrepresented,Female,Non-first gen,0.108658854,396.6470588,407.8529412,0.607142857,35.41176471,3.78,3.8,17,1.082623027,"Spring, 2019",UW
422,3,uw2,Underrepresented,Female,Non-first gen,0.136750096,478.52,429.14,0.892857143,61.24,2.830833333,3.08,18,1.603330987,"Spring, 2019",UW
435,3,uw2,Non-underrepresented,Female,Non-first gen,0.088317778,417.2307692,457.8076923,0.928571429,42.11538462,3.315,3.53,15,0.041207105,"Spring, 2019",UW
439,3,uw2,Non-underrepresented,Female,Non-first gen,0.0579984,370.6785714,367.6071429,1,16.82142857,3.653703704,3.3,14,-0.479500856,"Spring, 2019",UW
448,3,uw2,Non-underrepresented,Female,Non-first gen,0.577190667,417.8846154,514,0.928571429,51.03846154,4,3.97,14,-0.479500856,"Spring, 2019",UW
454,3,uw2,Non-underrepresented,Female,Non-first gen,0.157928669,365,374.25,1,47.35714286,3.25,3.27,15,0.041207105,"Spring, 2019",UW
